name,wigosid,country code,in OSCAR,longitude,latitude,#received,#expected,default schedule,color code,description,date,center
BHOPAL/BAIRAGHAR,0-20000-0-42667,IND,True,77.35,23.28333,25,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
BOMBAY / SANTACRUZ,0-20000-0-43003,IND,True,72.85,19.11667,24,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
GORAKHPUR,0-20000-0-42379,IND,True,83.3667,26.75,57,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
GWALIOR,0-20000-0-42361,IND,True,78.25,26.23333,50,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
JAIPUR / SANGANER,0-20000-0-42348,IND,True,75.8,26.81667,22,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
M.O. RANCHI,0-20000-0-42701,IND,True,85.31667,23.31667,28,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,NCEP
MANGALORE/PANAMBUR,0-20000-0-43285,IND,True,74.83333,12.95,21,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
PATNA,0-20000-0-42492,IND,True,85.16667,25.6,41,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,JMA
PBO RAIPUR,0-20000-0-42874,IND,True,81.65,21.23333,18,62,True,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,NCEP
SILIGURI (42397-0),0-20000-0-42397,IND,True,88.36667,26.66667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BANDARABBASS,0-20000-0-40875,IRN,True,56.3727,27.2147,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BIRJAND,0-20000-0-40809,IRN,True,59.2836,32.8905,29,62,True,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
GORGAN,0-20000-0-40738,IRN,True,54.4136,36.905,30,31,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
BAGHDAD INT. AIRPORT,0-20000-0-40650,IRQ,True,44.4,33.3,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BASRAH INT. AIRPORT,0-20000-0-40690,IRQ,True,47.78333,30.51667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
HAMHEUNG,0-20000-0-47041,PRK,True,127.55,39.93333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
QUETTA (SHEIKH MANDA),0-20000-0-41661,PAK,True,66.91667,30.26667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
MYS BARANOVA,0-20000-0-20094,RUS,True,101.62194,79.28,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
DUSHANBE,0-20000-0-38836,TJK,True,68.73333,38.58333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
KOKAND,0-20000-0-38606,UZB,True,70.95,40.55,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BACH LONG VI (SYNOP),0-704-0-48839,VNM,True,107.72868,20.13427,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
SANA'A,0-20000-0-41404,YEM,True,44.18333,15.51667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BREST (33008-1),0-20001-0-33008,BLR,True,23.68583,52.11667,14,62,True,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,DWD
TOULOUSE RW,0-20000-0-07618,FRA,True,1.37444,43.57694,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
SKOPJE PETROVEC,0-20000-0-13586,MKD,True,21.65,41.96667,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
OSLO-BLINDERN,0-20001-0-01492,NOR,True,10.71945,59.94275,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
ALEPPO MESELME,0-20001-0-40007,SYR,True,37.21667,36.33333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
Bilohirsk,0-20000-0-33966,UKR,True,34.5986,45.0454,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
"GUANTANAMO, ORIENTE (78367-0)",0-20000-0-78367,CUB,True,-75.13333,19.9,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
GUATEMALA (AEROPUERTO LA AURORA),0-20000-0-78641,GTM,True,-90.51667,14.58333,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
