name,wigosid,country code,in OSCAR,longitude,latitude,rms,variable,date,center,marine_type
Unknown,4600070,,False,175.26138305664062,55.04999923706055,0.37876,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4600071,,False,179.76388549804688,51.040000915527344,0.387059,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4600077,,False,-154.2111053466797,57.86861038208008,0.380789,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4600083,,False,-138.01889038085938,58.27000045776367,0.537129,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4600092,,False,-122.02916717529297,36.7511100769043,0.798438,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4701550,,False,145.9149932861328,83.2208023071289,0.3012,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4701579,,False,-167.23899841308594,77.89099884033203,0.196759,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4804058,,False,0.23240000009536743,-41.34199905395508,0.184376,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501694,,False,-164.77340698242188,-35.66019821166992,0.387386,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501702,,False,-156.84039306640625,-40.26219940185547,0.67399,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501705,,False,-161.6042022705078,-44.69820022583008,0.321554,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501707,,False,-122.10399627685547,-38.770599365234375,0.554229,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501719,,False,164.42059326171875,-38.84519958496094,0.148738,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5501792,,False,-173.66419982910156,-57.23379898071289,0.258374,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,5802065,,False,116.94519805908203,-59.41600036621094,0.333282,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6100196,,False,3.6500000953674316,41.91299819946289,0.416951,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6100197,,False,4.420000076293945,39.709999084472656,0.382554,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6100198,,False,-2.3376998901367188,36.56890106201172,0.296069,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6100417,,False,-0.314300000667572,37.654300689697266,0.222296,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6100430,,False,2.109999895095825,39.561500549316406,0.254628,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200024,,False,-3.0536000728607178,43.64400100708008,0.290232,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200025,,False,-6.160900115966797,43.7495002746582,0.220233,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200083,,False,-9.211400032043457,43.49610137939453,0.289372,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200087,,False,6.783329963684082,54.68333053588867,0.296535,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6200095,,False,-15.88479995727539,53.063018798828125,0.224437,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6203625,,False,-45.777198791503906,29.724000930786133,0.177429,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6203666,,False,45.047401428222656,85.57119750976562,0.206892,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6203887,,False,-41.4297981262207,-29.028400421142578,0.37519,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,6204501,,False,-36.867401123046875,-17.84779930114746,0.524586,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,7801697,,False,-41.0166015625,45.18709945678711,0.135264,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,23459,,False,87.01000213623047,14.0,0.246112,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4600059,,False,-129.97610473632812,38.06916046142578,0.119566,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
Unknown,4200059,,False,-67.48278045654297,15.300000190734863,0.182049,pressure,2026-07-01 00:00:00+00:00,JMA,buoy
